"name","sys_class_name","category","version","operational_status"
"Apache Web Server  [elaawbspia07]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawbspia07]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawceprf17]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawceprf17]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawcweya00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawcweya00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawdbaca01]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawdmief05]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawdmief05]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaween3a12]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaween3a12]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawichaa01]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawidoya00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawidoya00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawidoya00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawidoya00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawifoua08]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawifoud11]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawifoud11]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawisaaa00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawisaia07]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawisaia07]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawisaia08]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawisaia08]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawitiia01]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawitiia01]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawizeaa03]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawizeaa03]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawizeaa65]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawizeaa65]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawmcocf02]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawmfaoj02]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawmfaoj02]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawmge2f00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawmsaaa38]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawmsaaa38]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawmudbf00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawyco2a02]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaawyco2a03]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaazigdaj03]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaazigdaj03]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaazitizd08]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaazitizd08]","Applicazione","Resource","","Operational"
"Apache Web Server  [elbawggtab28]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [el0aeiarea00]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [el0aeiarea00]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [el0aeiarea01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [el0aeiarea01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeiexsa35]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeiexsa36]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeiexsa36]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeiexsa38]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeiexsa38]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeiinoa42]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeirdea11]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeirdea11]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeisbha02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaeisbha02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaemiada02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaemiada02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaemiada03]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaemsiaa02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaemsiaa02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaahmanla20]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaahmanla21]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaariexea12]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawcafca02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawcafca02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawcafca02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawchraa13]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaween3a03]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaween3a03]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaween3a05]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaaween3a05]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawiexba4n]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawiexba4n]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawiexba4o]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawiexba4o]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawiopaa03]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawiopaa03]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawizeaa11]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawme2ba22]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawme2ba22]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawme2ba33.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawme2ba33]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawme2ba90.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawme2ba90]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawmnexa21]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elaawmnexa21]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elabneenaa00.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elabneenaa00.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elabziexoa02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elabziexoa02]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbahidata01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbawggtab01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbawggtab01]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbawggtab11]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbawggtab11]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbawggtab21]","Applicazione","Resource","","Operational"
"Apache Web Server *-hue-HUE_LOAD_BALANCER [elbawggtab21]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e20acggesa00]","Applicazione","Resource","","Operational"
