"name","short_description","apm_business_process","application_type","architecture_type","install_type","install_status","life_cycle_stage_status","life_cycle_stage","technology_stack","user_base","platform","last_change_date","owned_by","it_application_owner","sys_updated_by","business_criticality","emergency_tier","data_classification","certified","model_id"
"3SUN - DataBase Service","The aim of this application is to create a local DataBase service, available in the 3SUN's on premise datacenter, to to support local Systems, Platforms and Applications. The DataBase service is based on both SQL Server [Microsoft] and Maria DB  technologies [OpenSource]","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN - Integration Layer","3SUN Integration Layer manages all 3SUN communication flows wich require middleware funcionalities such as queue management, buffering, decoupling or API transaltion. No business logics are foreseen to be developed on this layer. ","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN - OriginPro Service License Manager","Licenze Server OriginPro. This tool manages software licenses for Origin Pro client application, ensuring compliance and optimizing license usage. It tracks license expirations, automates renewals, and provides detailed usage reports. ","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN - PLM/QM","PLM/QM is an application based on two different integrated modules that manages:
-	Product Lyfecicle. The whole process affecting the product lifecyle will be tracked on PLM in order to support and track all engineering design and changes that will occour to PV modules.
-	Qualty Management. The QM module will track activities and inspection results related to raw materials, semifinished goods and final products in order to manage non conformities, inspection activities, post sales clamis.","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN - PLM/QM Mobile APP Android","Mobile APP for the PLM/QM application.

PLM/QM is an application based on two different integrated modules that manages:
-	Product Lyfecicle. The whole process affecting the product lifecyle will be tracked on PLM in order to support and track all engineering design and changes that will occour to PV modules.
-	Qualty Management. The QM module will track activities and inspection results related to raw materials, semifinished goods and final products in order to manage non conformities, inspection activities, post sales clamis.","","BUY (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN - VIEW","Application for:
- management and monitoring of the EGP-3SUN plant system and network
- management of alarms from the production line
- management of integrations with ENEL applications (open text type).","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso",""
"3SUN - XAltas","The aim of this application is to manage badge readers installed in the 3SUN's production plant and connected to a subset of production equipment. ","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN Active Directory IT","3SUN Active Directory IT  - local AD for user profiling and authentication on IT 3SUN Applications","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN Active Directory OT","3SUN Active Directory OT  - local AD for user profiling and authentication on OT 3SUN Applications. Active Directory centralizes and automates network management, providing authentication and authorization for users and computers of 3Sun plant. It supports group policies, simplifies resource management, and enhances security. Integrates with various applications and services, facilitating seamless access control and identity management","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN Analytics&Reporting","3SUN Analytics&Reporting is the tool supporting 3SUN reporting and analytics needs, including a wide span of KPI and metrics. It includes economics and financial directional views, supports operational activities (near real time) and will enable more complex analysis. It integrates different data sources (ec. ERP, MES, CRM, external data  via CSV/Excel, ecc..), creates a common data model in the backend layer and enables different 3SUN stakeholders to access and elaborate data on the PowerBI frontend. ","","COTS (Commercial Off-The-Shelf customized)","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"3SUN CAMLINE Service License Manager","Licenze Server Camline Cornestone. This tool manages software licenses for Cornestone client application (3Sun MES Tool), ensuring compliance and optimizing license usage. It tracks license expirations, automates renewals, and provides detailed usage reports. Integrates with asset management and procurement systems to streamline operations and reduce costs","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
